add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education
,,,,,,A-13316-14072,11/13/2013,Certified-Expired,H-1B,INDIA,,3/30/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,SMYRNA,Bachelor's
,Houston,"Reddy & Neumann, P.C.",TEXAS,,,A-13316-13949,1/2/2014,Certified,,INDIA,,6/12/2015,6363 COLLEGE BLVD,SUITE 230,OVERLAND PARK,UNITED STATES OF AMERICA,Associate Manager - HR,183,913-345-9080,150,66211,KANSAS,1999,A,INDIA,OVERLAND PARK,Bachelor's
,Enola,"Law Offices of Kendra S. Elliott, Esq.",PENNSYLVANIA,,,A-13317-14353,11/13/2013,Certified,H-1B,BRAZIL,,5/28/2015,550 CLINTON DRIVE,,GALENA PARK,UNITED STATES OF AMERICA,Human Resources Manager,36,713-237-2800,,77547,TEXAS,2006,A,BRAZIL,HOUSTON,Bachelor's
,,,,,,A-13316-14203,11/13/2013,Certified,Not in USA,CHINA,,5/11/2015,127 TANNER ROAD,,GREENVILLE,UNITED STATES OF AMERICA,Human Resources Specialist,2400,864-297-3748,,29608,SOUTH CAROLINA,1955,A,CHINA,JIANGMEN,None
,,,,,,A-13316-14140,11/13/2013,Certified-Expired,H-1B,INDIA,,3/30/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,PLAINSBORO,Bachelor's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14274,11/12/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,SEOUL,None
,PLAINSBORO,"KHAVINSON & ASSOCIATES, P.C.",NEW JERSEY,,,A-13316-14246,11/15/2013,Certified,L-1,BELARUS,,5/13/2015,41 UNIVERSITY DRIVE,SUITE 202,NEWTOWN,UNITED STATES OF AMERICA,HR Administrator,556,267-759-9000,,18940,PENNSYLVANIA,1993,A,UKRAINE,MOUNTAIN VIEW,Master's
,Edison,"Law Office of Thomas V. Allen, PLLC",NEW JERSEY,,,A-13317-14420,11/14/2013,Certified,H-1B,INDIA,,5/20/2015,33507 9TH AVENUE SOUTH,BLDG. D,FEDERAL WAY,UNITED STATES OF AMERICA,GENERAL MANAGER- OPERATIONS & DELIVERY,36,206-249-0903,,98003,WASHINGTON,2005,Y,INDIA,MONTVALE,Bachelor's
,South San Francisco,Litwin & Associates,CALIFORNIA,,,A-13316-14176,6/30/2014,Certified,H-1B,CHINA,,9/11/2015,1371 MCCARTHY BLVD.,,MILPITAS,UNITED STATES OF AMERICA,Chief Financial Officer,50,4082408700,8745,95035,CALIFORNIA,2000,A,CHINA,SAN JOSE,Master's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13734,11/11/2013,Denied,,SOUTH KOREA,,5/20/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,SEOUL,None
,Dallas,Berry Appleman & Leiden LLP,TEXAS,,,A-13317-14346,11/18/2013,Certified,H-1B,INDIA,,5/26/2015,1900 N. AKARD ST.,,DALLAS,UNITED STATES OF AMERICA,International Human Resources Representative,600,214-978-8107,,75201,TEXAS,1934,A,INDIA,DALLAS,Master's
,St. Louis,Armstrong Teasdale LLP,MISSOURI,,,A-13316-14183,12/4/2013,Certified,H-1B,CHINA,,6/9/2015,16600 SWINGLEY RIDGE RD,,CHESTERFIELD,UNITED STATES OF AMERICA,"Executive Director, Human Resources US & Mexico",920,6367365618,,63017,MISSOURI,1973,N,CHINA,CHESTERFIELD,Master's
,Matawan,"Fragomen, Del Rey, Bernsen & Loewy, LLP",NEW JERSEY,,,A-13316-14268,11/22/2013,Certified,L-1,GERMANY,,5/20/2015,3999 WEST CHESTER PIKE,,NEWTOWN SQUARE,UNITED STATES OF AMERICA,HR Operations Manager,5740,(610) 661-1000,,19073,PENNSYLVANIA,1988,N,GERMANY,WEST CHESTER,Bachelor's
,East Brunswick,Law Offices of Weicheng Wang,NEW JERSEY,,,A-13316-14188,12/30/2013,Certified,F-1,PAKISTAN,,6/11/2015,103 CARNEGIE CENTER,SUITE 317,PRINCETON,UNITED STATES OF AMERICA,HR,19,609-716-9001,,8540,NEW JERSEY,1998,Y,PAKISTAN,GERMANTOWN,Bachelor's
,San Diego,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CALIFORNIA,,,A-13317-14422,12/3/2013,Certified,Parolee,INDIA,,6/3/2015,5775 MOREHOUSE DRIVE,,SAN DIEGO,UNITED STATES OF AMERICA,Immigration Specialist - QUALCOMM HR,26600,858-651-1440,,92121,CALIFORNIA,2011,N,INDIA,NORTHBOROUGH,Master's
,Coral Gables,"Fragomen, Del Rey, Bernsen & Loewy, LLP",FLORIDA,,,A-13317-14428,1/13/2014,Certified,H-1B,GUATEMALA,,6/23/2015,1126 RAYMOND BLAND RD,,GLENNVILLE,UNITED STATES OF AMERICA,General Counsel,776,9126543048,,30427,GEORGIA,1948,A,GUATEMALA,GLENNVILLE,Bachelor's
,,,,,,A-13317-14431,11/14/2013,Certified-Expired,H-1B,INDIA,,4/1/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,HERNDON,Bachelor's
,NEW YORK,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",NEW YORK,,,A-13316-14269,10/19/2014,Certified-Expired,H-1B,CHINA,,3/10/2015,CENTRE SQUARE EAST,1500 MARKET STREET,PHILADELPHIA,UNITED STATES OF AMERICA,"IMMIGRATION ADMINISTRATION, HUMAN RESOUCES",3000,215-246-7800,,19102,PENNSYLVANIA,1934,A,CHINA,EVANSTON,Master's
,Los Angeles,,CALIFORNIA,,,A-09299-70650,10/21/2009,Denied,,MEXICO,,5/19/2015,424 N. CANON DR.,,BEVERLY,UNITED STATES OF AMERICA,President,15,310-274-6534,,90210,CALIFORNIA,1994,A,MEXICO,LOS ANGELES,None
,,,,,,A-13317-14387,11/14/2013,Certified-Expired,H-1B,INDIA,,4/1/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,Y,INDIA,SOMERSET,Other
,GREAT FALLS,"BBI LAW GROUP, P.C.",VIRGINIA,,,A-13317-14425,11/13/2013,Certified,H-1B,INDIA,,9/1/2015,7404 D CHAPEL HILL RD,,RALEIGH,UNITED STATES OF AMERICA,President,9,6032961985,,27513,NORTH CAROLINA,2005,A,INDIA,ALPHARETTA,Master's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13750,11/11/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,SEOUL,None
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13719,11/11/2013,Denied,,SOUTH KOREA,,5/20/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,SEOUL,None
,MIDDLETOWN,"Elfar & Associates, PC",NEW JERSEY,,,A-09231-60517,8/31/2009,Denied,E-1,TURKEY,,9/10/2015,306 WEST 37TH STREET,SUITE 1701,NEW YORK,UNITED STATES OF AMERICA,General Manager,12,212-239-1331,,10018,NEW YORK,1998,A,TURKEY,NEW YORK,Master's
,,,,,,A-07197-57029,10/6/2014,Certified-Expired,H-1B,ARGENTINA,,3/3/2015,INTERNATIONAL PROGRAMS - GLOBAL SERVICES,"BRYAN HALL 108, WASHINGTON STATE UNIVERSITY, PO BOX 645110",PULLMAN,UNITED STATES OF AMERICA,Immigration Compliance Specialist,5600,509-335-1348,,99164-5110,WASHINGTON,1890,A,ARGENTINA,PULLMAN,Doctorate
,Charlotte,Garfinkel Immigration Law Firm,NORTH CAROLINA,,,A-13316-14143,2/10/2014,Certified,H-1B,CHINA,,7/16/2015,3800 HILLSBOROUGH STREET,,RALEIGH,UNITED STATES OF AMERICA,Director of Human Resources,498,919-760-8898,,27607,NORTH CAROLINA,1891,A,CHINA,EDEN PRAIRIE,Master's
,,,,,,A-13316-14142,11/13/2013,Certified-Expired,H-1B,INDIA,,3/30/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,FREMONT,Bachelor's
,Cincinnati,Hammond Law Group,OHIO,,,A-10263-20340,9/28/2010,Certified-Expired,H-1B,INDIA,,3/27/2015,222 WEST LAS COLINAS BLVD.,SUITE 745E,IRVING,UNITED STATES OF AMERICA,Director,60,972-646-3111,,75039,TEXAS,2000,Y,INDIA,TAMPA,Master's
,,,,,,A-13316-13851,11/14/2013,Certified-Expired,H-1B,INDIA,,4/1/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,PROSPECT HEIGHTS,Master's
,PHILADELPHIA,LAW OFFICES OF TAHIR MELLA,PENNSYLVANIA,,,A-08248-83923,6/11/2008,Denied,,ECUADOR,,6/3/2015,1324  KATIE LANE,,NORTH WALES,UNITED STATES OF AMERICA,OWNER,5,215-920-1247,,19454,PENNSYLVANIA,1974,A,ECUADOR,CUCUA,High School
,Doral,,FLORIDA,,,A-13317-14322,11/13/2013,Certified,,COLOMBIA,,5/12/2015,6043 NW 167 ST. STE A-21,,MIAMI,UNITED STATES OF AMERICA,President,16,7865562811,,33015,FLORIDA,1998,A,COLOMBIA,MEDELLIN,Associate's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13693,11/11/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,INCHEON,None
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13727,11/11/2013,Denied,,SOUTH KOREA,,5/19/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,JECHEON-SI,None
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13728,11/11/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,GOSUNG-GUN,None
,Santa Clara,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CALIFORNIA,,,A-13316-14177,12/4/2013,Certified,L-1,FRANCE,,6/11/2015,3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,UNITED STATES OF AMERICA,Global Immigration Program Manager,13000,408-727-5555,,95054,CALIFORNIA,1967,Y,FRANCE,MALTA,Other
,Iselin,Nair Law Group,NEW JERSEY,,,A-13316-14234,11/18/2013,Certified,H-1B,INDIA,,5/28/2015,200 MIDDLESEX ESSEX TPK,SUITE 102,ISELIN,UNITED STATES OF AMERICA,President,77,732-404-0025,11,8830,NEW JERSEY,2002,A,INDIA,MADISON,Master's
,Bloomfield Hills,Dykema,MICHIGAN,,,A-13317-14337,11/13/2013,Certified,H-1B,JAPAN,,5/20/2015,2200 SOUTHWEST BLVD. SUITE K,,GROVE CITY,UNITED STATES OF AMERICA,President,30,614-782-6200,,43123,OHIO,2009,A,JAPAN,DUBLIN,Bachelor's
,Washington,"Morgan, Lewis & Bockius LLP",DISTRICT OF COLUMBIA,,,A-13316-14293,11/12/2013,Certified,H-1B,INDIA,,5/21/2015,4601 WESTOWN PARKWAY,SUITE 300,WEST DES MOINES,UNITED STATES OF AMERICA,Senior Legal Analyst,46,515 221 5714,,50266,IOWA,2006,A,INDIA,WAUKEE,Bachelor's
,Columbus,"LHP Software, LLC",INDIANA,,,A-13316-14117,12/10/2013,Certified,H-1B,CANADA,,6/8/2015,305 FRANKLIN STREET,,COLUMBUS,UNITED STATES OF AMERICA,President,230,812-373-0880,6316,47201,INDIANA,2001,A,CHINA,COLUMBUS,Master's
,San Francisco,Berry Appleman & Leiden LLP,CALIFORNIA,,,A-13316-14298,11/27/2013,Certified,H-1B,JAPAN,,5/13/2015,2029 STIERLIN COURT,,MOUNTAIN VIEW,UNITED STATES OF AMERICA,Immigration Program Manager,4900,650-687-3600,,94043,CALIFORNIA,2003,A,JAPAN,MOUNTAIN VIEW,Master's
,Philadelphia,"Klasko, Rulon, Stock & Seltzer, LLP",PENNSYLVANIA,,,A-13316-14146,2/24/2014,Certified,H-1B,UKRAINE,,6/29/2015,ONE COMCAST CENTER,1701 JFK BOULEVARD,PHILADELPHIA,UNITED STATES OF AMERICA,Human Resources Administrator,129000,215-286-5912,,19103,PENNSYLVANIA,1963,A,RUSSIA,PHILADELPHIA,Master's
,SAN DIEGO,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",,,,A-13317-14399,10/31/2013,Certified,H-1B,INDIA,,6/23/2015,5775 MOREHOUSE DRIVE,,SAN DIEGO,UNITED STATES OF AMERICA,IMMIGRATION SPECIALIST - QUALCOMM HR,426,858-651-1440,,92121,CALIFORNIA,2012,N,INDIA,SAN DIEGO,Master's
,,,,,,A-13317-14427,11/14/2013,Certified-Expired,L-1,INDIA,,4/1/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,ISELIN,Master's
,San Diego,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CALIFORNIA,,,A-13317-14434,1/7/2014,Certified,H-1B,CHINA,,6/30/2015,5775 MOREHOUSE DRIVE,,SAN DIEGO,UNITED STATES OF AMERICA,Immigration Specialist - Qualcomm HR,31000,858-651-1440,,92121,CALIFORNIA,2011,N,CHINA,SAN DIEGO,Master's
,Decatur,"Kramer & Alfano, PC",GEORGIA,,,A-13317-14340,12/20/2013,Certified,H-1B,SOUTH KOREA,,5/29/2015,"1120 15TH STREET, AA2013",INTERNATIONAL SERVICES OFFICE (IPSO),AUGUSTA,UNITED STATES OF AMERICA,Director/Immigration Counsel,6000,706/721-0670,,30912,GEORGIA,1828,A,SOUTH KOREA,AUGUSTA,Doctorate
,Arlington,Law Office of Victor A. Cuco,,,,A-13317-14357,11/18/2013,Denied,,MEXICO,,6/3/2015,7949 GAINSFORD CT.,,BRISTOW,UNITED STATES OF AMERICA,President,21,(703) 490-4959,,20136,VIRGINIA,1990,A,MEXICO,WOODBRIDGE,None
,Fremont,Law Offices of Mahesh Bajoria,CALIFORNIA,,,A-13316-14233,11/12/2013,Certified,H-1B,INDIA,,6/2/2015,1270 OAKMEAD PKWY,SUITE# 115,SUNNYVALE,UNITED STATES OF AMERICA,Director,217,408-733-1530,,94085,CALIFORNIA,2004,A,INDIA,HOOVER,Master's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13732,11/11/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,SEOUL,None
,Virginia Beach,"Willcox & Savage, P.C.",VIRGINIA,,,A-13316-14220,12/4/2013,Certified,H-1B,INDIA,,5/29/2015,150 GRANBY STREET,,NORFOLK,UNITED STATES OF AMERICA,Director of Employee Relations/Attorney,85,757-351-8278,,23510,VIRGINIA,2011,A,INDIA,ANN ARBOR,Bachelor's
,San Francisco,Jackson & Hertogs LLP,CALIFORNIA,,,A-13316-14258,11/14/2013,Certified,H-1B,INDIA,,5/12/2015,6220 STONERIDGE MALL ROAD,,PLEASANTON,UNITED STATES OF AMERICA,Human Resources Analyst II,1072,925-226-9112,,94588,CALIFORNIA,2001,A,INDIA,PLEASANTON,Master's
,CARROLLTON,"KARENEVA LAW FIRM, PLLC",TEXAS,,,A-09272-66540,9/24/2009,Denied,,MEXICO,,5/6/2015,18323 N. DALLAS PKWY,,DALLAS,UNITED STATES OF AMERICA,MARKET PARTNER,100,(972) 818-3336,,75287,TEXAS,1997,A,MEXICO,RICHARDSON,None
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14284,11/12/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,BUCHEON-SI,None
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13316-14310,11/12/2013,Denied,,SOUTH KOREA,,5/20/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,POHANG-SI,None
,Dallas,Berry Appleman & Leiden LLP,TEXAS,,,A-13317-14391,11/18/2013,Certified,H-1B,INDIA,,5/11/2015,1095 AVENUE OF THE AMERICAS,,NEW YORK,UNITED STATES OF AMERICA,Senior Analyst,193900,972-718-1548,,10036,NEW YORK,2000,A,INDIA,CHICAGO,Master's
,Houston,Reddy & Neumann P.C.,TEXAS,,,A-13316-13866,12/21/2013,Certified,,INDIA,,6/12/2015,775 SOUTH KIRKMAN ROAD,UNIT # 109,ORLANDO,UNITED STATES OF AMERICA,CEO,41,321 710 0969,,32811,FLORIDA,2004,A,INDIA,FISHERS,Master's
,,,,,,A-13316-13991,11/14/2013,Certified-Expired,H-1B,INDIA,,4/1/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,CHARLOTTE,Bachelor's
,East Brunswick,Law Offices of Weicheng Wang,NEW JERSEY,,,A-13316-14115,11/19/2013,Certified,H-1B,INDIA,,5/21/2015,"347 PLAINFIELD AVE,SUITE 107",,EDISON,UNITED STATES OF AMERICA,VP,4,7324238367,,8817,NEW JERSEY,2005,Y,INDIA,ROSEVILLE,Bachelor's
,New York,"Fragomen, Del Rey, Bernsen & Loewy LLP",NEW YORK,,,A-13316-13884,12/9/2013,Certified,H-1B,INDIA,,6/17/2015,11 MADISON AVENUE,,NEW YORK,UNITED STATES OF AMERICA,Vice President,47400,212-325-2000,,10010,NEW YORK,1856,N,INDIA,APEX,Master's
,New York,"Fragomen, Del Rey, Bernsen & Loewy LLP",NEW YORK,,,A-13316-13902,1/2/2014,Certified,H-1B,PHILIPPINES,,6/17/2015,711 FIFTH AVENUE,8TH FLOOR,NEW YORK,UNITED STATES OF AMERICA,General Counsel,170,2128328000,,10022,NEW YORK,2002,A,PHILIPPINES,WOODSIDE,Master's
,San Francisco,Berry Appleman & Leiden LLP,CALIFORNIA,,,A-13316-14022,11/15/2013,Certified,H-1B,INDIA,,5/8/2015,500 ORACLE PARKWAY,,REDWOOD SHORES,UNITED STATES OF AMERICA,Immigration Specialist,42000,650-506-7000,,94065,CALIFORNIA,1977,A,INDIA,SUNNYVALE,Bachelor's
,San Francisco,Berry Appleman & Leiden LLP,CALIFORNIA,,,A-13316-13865,11/26/2013,Certified,H-1B,CHINA,,5/12/2015,500 ORACLE PARKWAY,,REDWOOD SHORES,UNITED STATES OF AMERICA,Immigration Specialist,115000,650-506-7000,,94065,CALIFORNIA,1977,A,CHINA,SAN BRUNO,Master's
,,,,,,A-13316-13889,11/14/2013,Certified-Expired,H-1B,INDIA,,4/1/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,EDEN  PRAIRIE,Bachelor's
,ARLINGTON,LAW OFFICE OF VICTOR A. CUCO,VIRGINIA,,,A-08330-09286,11/24/2008,Denied,EWI,MEXICO,,5/20/2015,9205 MARSHALL CORNER RD,,POMFRET,UNITED STATES OF AMERICA,EMPLOYER,1,301 392-0515,,20675,MARYLAND,2000,A,MEXICO,LA PLATA,None
,,,,,,A-13315-13666,11/13/2013,Certified-Expired,L-1,INDIA,,3/31/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,N,INDIA,AVENEL,Bachelor's
,RALEIGH,"Global Labor Solutions, LLC",NORTH CAROLINA,,,A-13315-13670,11/11/2013,Denied,,SOUTH KOREA,,5/18/2015,46623 COUNTY ROAD 523 (MAIL TO PO BOX ONLY),P.O. BOX 206,ITTA BENA,UNITED STATES OF AMERICA,President,350,662-254-7200,,38941,MISSISSIPPI,1988,A,SOUTH KOREA,GOSEONG-GUN,None
,San Francisco,Gordon Law Group PC,CALIFORNIA,,,A-13315-13730,5/29/2014,Certified-Expired,H-1B,CHINA,,10/6/2014,9606 N MOPAC EXPY STE 100,,AUSTIN,UNITED STATES OF AMERICA,Chief Executive Officer,27,5128080178,,78759,TEXAS,2007,A,CHINA,AUSTIN,Bachelor's
,,,,,,A-13316-13920,11/13/2013,Certified-Expired,H-1B,INDIA,,3/27/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,29000,201-290-9573,,77845,TEXAS,1994,A,INDIA,ALPHARETTA,Bachelor's
,NEW YORK,LAW OFFICE OF PETER E. TORRES,NEW YORK,,,A-08310-02469,10/28/2008,Denied,B-2,GUYANA,,5/15/2015,31 DOWNING STRRET APT #12,,NEW YORK,UNITED STATES OF AMERICA,EMPLOYER,1,212-741-5893,,10014,NEW YORK,2004,A,GUYANA,OZONE PARK,None
,Alpharetta,Gokare Law Firm,GEORGIA,,,A-13316-13996,1/20/2014,Denied,TN,CANADA,,7/21/2015,3001 MALLARD FOX DR. NW,,DECATUR,UNITED STATES OF AMERICA,Human Resources Specialist,16,256-686-2950,,35601,ALABAMA,2011,A,INDIA,SOCIAL CIRCLE,Bachelor's
,Washington,Seyfarth Shaw LLP,DISTRICT OF COLUMBIA,,,A-13316-13836,11/18/2013,Certified,H-1B,CHINA,,5/15/2015,1345 AVENUE OF THE AMERICAS,,NEW YORK,UNITED STATES OF AMERICA,"Managing Director, Human Resources",845,212-479-6100,,10105,NEW YORK,1998,A,CHINA,ELMHURST,Master's
